,Booth,x,y
3 Stars Brewing Co.,1,21.46122,16.2844
Rhinegeist Brewery,2,20.30466,39.41564
Overshores Brewing Co.,3,21.46122,61.39033
Lost Nation Brewing,4,22.61778,84.52158
Hidden Cove Brewing Co.,5,22.61778,105.3397
Firefly Hollow Brewing Co.,6,21.46122,126.15782
Boulevard Brewing Co.,7,21.46122,196.70812
Backlash Beer Co.,8,22.61778,218.68281
Coronado Brewing Co.,9,20.30466,240.65749
Boston Beer Co. (Sam Adams),10,21.46122,262.63217
Down the Road Brewery,11,21.46122,283.4503
Baxter Brewing Co.,12,20.30466,305.42498
DC Brau Brewing Co.,13,20.30466,374.81872
Foolproof Brewing Co.,14,20.30466,396.7934
Ithaca Beer Co.,15,20.30466,419.92465
Long Trail Brewing Co.,16,20.30466,439.58621
Otter Creek Brewing,17,21.46122,461.5609
Narragansett Beer,18,22.61778,483.53558
Somerville Brewing Co. (Slumbrew),19,20.30466,555.24244
Newburyport Brewing Co.,20,21.46122,577.21713
Peak Organic Brewing Co.,21,20.30466,598.03525
Rising Tide Brewing Co.,22,20.30466,618.85337
Shipyard Brewing Co.,23,20.30466,638.51493
Sea Dog Brewing,23,20.30466,638.51493
Wormtown Brewery,24,20.30466,662.80274
Grey Sail Brewing,25,20.30466,684.77743
Two Roads Brewing Co.,26,20.30466,705.59555
Spoetzel Brewery / Shiner,27,19.14809,726.41367
Spencer Brewery,28,20.30466,749.54492
Utah Brewers Cooperative,29,132.4912,83.36501
The Fort Collins Brewery,30,130.17808,104.18313
603 Brewery,31,132.4912,123.84469
Harpoon Brewery,32,144.05683,194.395
Speakeasy Ales & Lagers,33,133.64776,217.52624
Berkley Beer Co.,34,133.64776,239.50093
Lord Hobo Brewing Co.,35,132.4912,259.16249
Big Elm Brewing,36,133.64776,285.76342
Dogfish Head Brewery,37,133.64776,304.26842
Shmaltz Brewing Co.,38,133.64776,374.81872
Uinta Brewing Co.,39,133.64776,397.94997
21st Amendment Brewery,40,132.4912,418.76809
Weyerbacher Brewing Co.,41,133.64776,439.58621
Other Half Brewing Co.,42,131.33464,460.40433
Heavy Seas Beer,43,133.64776,482.37902
Full Sail Brewing Co.,44,134.80433,555.24244
Sixpoint Brewery,45,133.64776,576.06057
Humbolt Brewing,46,132.4912,596.87869
Southampton Publick House,46,132.4912,596.87869
Lagunitas Brewing Co.,47,132.4912,617.69681
Magic Hat Brewing Co.,48,133.64776,640.82806
Brewmaster Jack,49,132.4912,661.64618
Devil's Canyon Brewing Co.,50,132.4912,682.4643
Henniker Brewing Co.,51,134.80433,704.43898
Anchor Brewing Co.,52,155.62245,79.89533
Moat Mountain Smoke House & Brewing Co.,53,155.62245,101.87001
Martha's Exchange,54,154.46589,126.15782
Buzzards Bay Brewing,55,154.46589,217.52624
The People's Pint,56,154.46589,238.34437
White Lion Brewing Co.,57,153.30932,264.9453
Stoneface Brewing Co.,58,154.46589,282.29373
Jack's Abby Brewing,59,155.62245,304.26842
Bear Republic Brewing Co.,60,155.62245,373.66216
Anderson Valley Brewing Co.,61,154.46589,397.94997
Ballast Point Brewing Co.,62,156.77901,417.61153
Stone Brewing Co.,63,154.46589,439.58621
Oskar Blues Brewery,64,154.46589,461.5609
Tuckerman Brewing Co.,65,154.46589,484.69214
Southern Tier Brewing Co.,66,154.46589,555.24244
Smuttynose Brewing Co.,67,155.62245,573.74744
Sebago Brewing Co.,68,155.62245,598.03525
Rogue Ales,69,154.46589,617.69681
Woodstock Inn Brewery,70,154.46589,638.51493
Wandering Star Craft Brewery,71,155.62245,661.64618
Iron Duke Brewing,72,155.62245,682.4643
